ID;Título;Localización;Precio;numero_calle;metros_cuadrados;habitaciones;baños;parcela_m2;plaza_garaje;estado;orientacion;año_construccion;calefaccion;planta;ascensor;LATITUD;LONGITUD
105070649;Casa o chalet independiente en venta en calle de Cambrils, 3 --b;Mirasierra;2460000.0;3.0;753.0;7.0;6.0;750.0;True;Segunda mano/buen estado;este;2002.0;Gas natural;;;40°29'15.06'' N;3°42'31.53'' W
101792453;Chalet pareado en venta en calle Virgen de los Rosales;Aravaca;2280000.0;;505.0;7.0;5.0;1127.0;True;Segunda mano/buen estado;;1997.0;;;;40°27'13.35'' N;3°46'11.39'' W
106330563;Dúplex en venta en calle de Montalbán, 11;Jerónimos;2700000.0;11.0;220.0;2.0;3.0;;True;Segunda mano/buen estado;sur;2020.0;Calefacción individual;;True;40°25'5.89'' N;3°41'31.67'' W
97875752;Chalet adosado en venta en paseo de La Habana;Nueva España;3110000.0;;430.0;6.0;5.0;300.0;True;Segunda mano/buen estado;;1987.0;Gas natural;;;40°26'53.19'' N;3°41'24.16'' W
105505309;Piso en venta en calle de Núñez de Balboa;Castellana;3650000.0;;340.0;5.0;4.0;;;Segunda mano/buen estado;oeste;1954.0;Gas;Planta 3ª exterior;True;40°25'18.2'' N;3°40'59.4'' W
101792453;Chalet pareado en venta en calle Virgen de los Rosales;Aravaca;2280000.0;;505.0;7.0;5.0;1127.0;True;Segunda mano/buen estado;;1997.0;;;;40°27'13.35'' N;3°46'11.39'' W
103910133;Casa o chalet independiente en venta en calle de Darío Aparicio;Valdemarín;3500000.0;;749.0;7.0;10.0;2987.0;True;Segunda mano/buen estado;;2003.0;;;;40°27'52.7'' N;3°45'57.07'' W
104952998;Piso en venta en calle del Duque de Sesto;Goya;1290000.0;;133.0;2.0;3.0;;;Segunda mano/buen estado;sur;1941.0;Gas;Planta 1ª exterior;True;40°25'21.71'' N;3°40'42.99'' W
105893822;Chalet pareado en venta en calle Virgen de los Rosales;Aravaca;2280000.0;;505.0;7.0;6.0;1127.0;True;;sur;1979.0;Gas natural;;;40°27'13.35'' N;3°46'11.39'' W
105891810;Chalet adosado en venta en avenida del Papa Negro;Conde Orgaz-Piovera;1890000.0;;385.0;5.0;4.0;;True;Segunda mano/buen estado;oeste;1994.0;Gas natural;;;40°27'4.46'' N;3°38'0.44'' W
96982668;Casa o chalet independiente en venta en calle de Zumárraga;El Plantío;2950000.0;;800.0;6.0;6.0;3563.0;True;Segunda mano/buen estado;;;;;;40°28'11.04'' N;3°48'56.66'' W
105036254;Piso en venta en calle de Noblejas;Palacio;1595000.0;;164.0;3.0;3.0;;;Segunda mano/buen estado;;;;Planta 2ª exterior;True;40°25'0.46'' N;3°42'43.72'' W
105449412;Piso en venta en calle de Castelló;Castellana;1195000.0;;117.0;2.0;2.0;;;Segunda mano/buen estado;;1980.0;Gas;Planta 4ª exterior;True;40°25'20.65'' N;3°40'54.64'' W
102911946;Piso en venta en calle de Villanueva;Recoletos;3750000.0;;238.0;4.0;3.0;;;Segunda mano/buen estado;;;Gas natural;Planta 1ª exterior;True;40°25'22.57'' N;3°41'22.93'' W
105155727;Ático en venta en avenida de Machupichu;Conde Orgaz-Piovera;870000.0;;141.0;3.0;2.0;;True;Segunda mano/buen estado;este;1996.0;Gas natural;Planta 4ª exterior;True;40°27'19.63'' N;3°37'24.69'' W
103666203;Piso en venta en avenida de América, 37;Prosperidad;1100000.0;37.0;236.0;3.0;3.0;;True;Segunda mano/buen estado;sur;1968.0;Calefacción individual;Planta 2ª exterior;True;40°26'16.35'' N;3°40'39.02'' W
106264579;Piso en venta en calle de Alfonso XII;Jerónimos;1550000.0;;165.0;3.0;2.0;;;;este;;;Planta 1ª exterior;True;40°24'54.99'' N;3°41'19.23'' W
105070649;Casa o chalet independiente en venta en calle de Cambrils, 3 --b;Mirasierra;2460000.0;3.0;753.0;7.0;6.0;750.0;True;Segunda mano/buen estado;este;2002.0;Gas natural;;;40°29'15.06'' N;3°42'31.53'' W
105501144;Piso en venta en calle de Castelló;Castellana;2250000.0;;230.0;3.0;3.0;;True;Segunda mano/buen estado;;;Gas natural;Planta 5ª exterior;True;40°25'20.65'' N;3°40'54.64'' W
103365843;Ático en venta en calle de Mesonero Romanos, 4;Sol;1080000.0;4.0;147.0;4.0;3.0;;;Segunda mano/buen estado;este;1900.0;Calefacción individual;Planta 5ª exterior;True;40°25'8.57'' N;3°42'17.57'' W
105197920;Piso en venta en plaza Manolete;Cuatro Caminos;1175000.0;;165.0;3.0;3.0;;True;Segunda mano/buen estado;;1967.0;Calefacción central;Planta 15ª exterior;True;40°27'15.13'' N;3°41'28.99'' W
